Title,Company,URL,Full Job Description,Country,Search Word
Data Analytics,Apple,https://il.indeed.com/rc/clk?jk=ac672ca32924abdf&bb=r6UIYw2mow7Pn8IzQwq2_947tjj67RppMknwoYuJzOzzr9AMXp01AtLsTLDv2CvxbUCGqSnscg1DI_R2JgGAaqdglT_DZvYUPWCd6LL_FsOlpDbDP4x7fQ%3D%3D&xkcb=SoBe67M33wH7H8WWaB0KbzkdCdPP&fccid=c1099851e9794854&vjs=3,"Summary Posted: Nov 7, 2024 Role Number: 200577967 We're looking for an exceptional data analyst with a strong background in distributed data processing and a demonstrated ability to turn data into actionable insights. As a data analyst for our Storage Data Analytics team at Apple, you'll play a crucial role in developing the fastest and most efficient SSDs for our products, including the iPhone, iPad, Apple Watch, and new Apple Silicon Macs. If you're passionate about continuously improving the ways we use data to make Apple's products amazing, we want to hear from you! Description On the Storage Data Analytics team, we are responsible for performing ad hoc data analysis, development and maintenance of distributed data pipelines, as well as creation and support of analysis tools. Our team focuses on Apple’s storage solutions. It is small and nimble, able to quickly explore ideas and present them to the storage teams and to leadership. Minimum Qualifications +3 years of experience Ability to lead data investigations and analysis projects with ambiguous requirements Advanced statistic and modeling knowledge Experience visualizing and presenting analyses in tools like Jupyter and Tableau Experience programming in Python in a professional setting Familiarity with distributed computation, storage, and workflow management (e.g. Splunk, Spark, Kubernetes, Kafka, Hadoop, MapReduce, AirFlow etc.) Experience with relational databases and SQL Highly organized, creative, motivated, and passionate about achieving results Curious and have excellent analytical and problem solving skills Excellent written, verbal, and data communication skills Bachelor's or Master's degree in computer science. Preferred Qualifications Familiarity with distributed computation, storage, and workflow management (e.g. Splunk, Spark, Kubernetes, Kafka, Hadoop, MapReduce, AirFlow etc.) Opened URL: https://il.indeed.com/rc/clk?jk=0433bc7e45e694a3&bb=r6UIYw2mow7Pn8IzQwq2_7gXyX4L0a9oUPOLDIseoxAN8l0MRFFfCqpU6vSJRCmVlzxZCXcY6V-lzbB66NkEzDukGjQJgUJrBPff0HR1apFcJos6F0MbonwvLMjHhNz9&xkcb=SoDD67M33wH7H8WWaB0JbzkdCdPP&fccid=8e007f7a76f9cee5&vjs=3",il,data
Junior Backend Big Data Developer,ThetaRay,https://il.indeed.com/rc/clk?jk=0433bc7e45e694a3&bb=r6UIYw2mow7Pn8IzQwq2_7gXyX4L0a9oUPOLDIseoxAN8l0MRFFfCqpU6vSJRCmVlzxZCXcY6V-lzbB66NkEzDukGjQJgUJrBPff0HR1apFcJos6F0MbonwvLMjHhNz9&xkcb=SoDD67M33wH7H8WWaB0JbzkdCdPP&fccid=8e007f7a76f9cee5&vjs=3,"Israel, Hod HaSharon Description About ThetaRay: ThetaRay is a trailblazer in AI-powered Anti-Money Laundering (AML) solutions, offering cutting-edge technology to fintechs, banks, and regulatory bodies worldwide. Our mission is to enhance trust in financial transactions, ensuring compliant and innovative business growth. Our technology empowers customers to expand into new markets and introduce groundbreaking products. Thetaray is a culture-driven company. Our values are at the heart of our success. By joining us, you'll have the opportunity to embody these values and inspire others through your actions. Why Join ThetaRay? At ThetaRay, you'll be part of a dynamic global team committed to redefining the financial services sector through technological innovation. You will contribute to creating safer financial environments and have the opportunity to work with some of the brightest minds in AI, ML, and financial technology. We offer a collaborative, inclusive, and forward-thinking work environment where your ideas and contributions are valued and encouraged. Join us in our mission to revolutionize the financial world, making it safer and more trustworthy for millions worldwide. Explore exciting career opportunities at ThetaRay – where innovation meets purpose. We are seeking a skilled Junior Backend Big Data Developer to join our global R&D department. About the position Design and develop a scalable data processing and ML pipeline using the latest big data technologies in a fast paced agile environment Investigate new technological areas and understand them in depth through rapid self-learning Demonstrates strong analytical problem-solving skills to support scalable and sustainable design solutions Ability to take ownership of product development including all life cycle stages: translating product requirements into actionable designs and tasks, development, UT, and production troubleshooting Requirements 1-2 years of experience of hands-on development experience Experience developing data-oriented products preferably using Python/Java Experience in data processing FW such as Spark, Pandas, Hadoop, Airflow Experience in Distributed Databases (Such as Elasticsearch, Mongo, Redis, etc) Experience with developing microservices-based architecture Experience working in container-based environments using tools such as K8s, helm Experience working as a software developer in an Agile environment Nice to have: Experience in machine learning FWs such as SKLearn, Tensorflow Experience with RedHat OpenShift Dev Environment knowledge: GIT, Jenkins, Docker Opened URL: https://il.indeed.com/rc/clk?jk=f8a4240257a1f2ce&bb=r6UIYw2mow7Pn8IzQwq2_-W1QCjSWXjTolCGGPP6r1hrgYR_04g-rduMaSln8QXPTKg72oJi8A05b61aBYrHRJnGe_P_Fe_A6kxMxp1ZSL-qNeOaC0lT-K0Lac-PNtP0&xkcb=SoB367M33wH7H8WWaB0IbzkdCdPP&fccid=69237999e36cf5e9&vjs=3",il,data
Data Annotator,Prisma Photonics,https://il.indeed.com/rc/clk?jk=f8a4240257a1f2ce&bb=r6UIYw2mow7Pn8IzQwq2_-W1QCjSWXjTolCGGPP6r1hrgYR_04g-rduMaSln8QXPTKg72oJi8A05b61aBYrHRJnGe_P_Fe_A6kxMxp1ZSL-qNeOaC0lT-K0Lac-PNtP0&xkcb=SoB367M33wH7H8WWaB0IbzkdCdPP&fccid=69237999e36cf5e9&vjs=3,"Description: Prisma-Photonics is a rapidly growing startup company, developing the next-generation smart-infrastructure solution based on novel fiber-sensing technology (smart roads, smart cities, perimeters, grid monitoring, etc.). The company offers an award-winning disruptive solution – a “sensor free” approach to smart infrastructure. The company is VC backed and is in the revenues stage. Combining pioneering technology in optical fiber sensing with state-of-the-art machine learning, we help prevent environmental disasters, protect human lives, and keep critical energy and transportation backbones running smoothly. We are rapidly growing, looking for the best minds and spirits to join us in our journey. We know our products are only as great as the individuals building the hardware and software and harnessing data for good causes! Being a great team member means being eager to learn and grow, able to challenge others while accepting being challenged yourself, and working for the team and product with enthusiasm and passion. We are seeking a detail-oriented and highly technical Data Annotator to join our Data Operations team. The role is full time, on an hourly pay, with the aim of adjusting work hours per need. In this role, you will be responsible for annotating various events on our distinct fiber sensing data, and managing datasets to support various products and projects. You will play a crucial part in ensuring the quality and integrity of our data, contributing to multiple critical initiatives. You will help improve our annotation procedures, techniques and tooling, and work closely with ML and Algo teams as well as Data Engineering. This is a unique opportunity to gain hands-on experience in data operations within a dynamic environment using cutting edge and novel technology. You will join a talented team dedicated to leveraging data for impactful projects. If you are passionate about data and eager to contribute to exciting challenges, this might be the perfect opportunity for you. Key Responsibilities: Data Annotation – Accurately annotate datasets using internal tools, adhering to annotation guidelines and maintaining high standards for consistency and quality.. Quality Assurance – Review and validate annotated data to ensure accuracy and consistency, identify discrepancies, and suggest solutions to improve processes. Continuous improvement – Participate in the continuous improvement of our tools and data operation processes to achieve more accurate models, and more streamlined data flow between the different teams in the company. Data Management – Support the ongoing maintenance of annotated datasets, ensuring data integrity and accessibility, and implementing best-practices to create seamless data flows Requirements: A Bachelor of Science degree or equivalent (STEM fields an advantage). Strong attention to detail and a commitment to maintaining high-quality annotation standards. Good written and verbal skills, with the ability to work effectively with a diverse group of individuals. Availability to work full time when needed. Nice-to-haves: Familiarity with data annotation processes, especially non-structured data (images, video, audio). Experience working with seismic data, heat maps, or spectrograms Familiarity with SQL and data visualization tools. Experience with coding languages, preferably MATLAB and Python. Opened URL: https://il.indeed.com/rc/clk?jk=bc34db8ca4455a09&bb=r6UIYw2mow7Pn8IzQwq2_2KWxyEGo0k-OJpOJwwWN8Jm7Ix9rFlIZvMB9V3E68_9Tw5jXdxlGcRgdwn8R5bozu_4HSOWEd50RAMDfMKBbPpkx12msEPjULZyxC-ZVeo-&xkcb=SoD567M33wH7H8WWaB0PbzkdCdPP&fccid=fa9a43168015ecb7&vjs=3",il,data
Marketing Data Analyst,Plarium,https://il.indeed.com/rc/clk?jk=bc34db8ca4455a09&bb=r6UIYw2mow7Pn8IzQwq2_2KWxyEGo0k-OJpOJwwWN8Jm7Ix9rFlIZvMB9V3E68_9Tw5jXdxlGcRgdwn8R5bozu_4HSOWEd50RAMDfMKBbPpkx12msEPjULZyxC-ZVeo-&xkcb=SoD567M33wH7H8WWaB0PbzkdCdPP&fccid=fa9a43168015ecb7&vjs=3,"The Business Performance department at Plarium is in charge of all the analytical aspects of our game operations and strategic planning: From game design, to user acquisition, player behavior, live-ops, and game optimization (such as monetization, retention, etc). We are looking for a data analyst for our Marketing Analytics team. The scope of responsibility of this team includes budget optimization for user acquisition for our games at the scope of tens of million dollars per game, analyses of game profitability and long term potential, analysis of the players behavior, player game funnel and reaction to new game features and offers, and a lot more. Our goal is making sure Plarium brings the best and most relevant players to its games in the most efficient and effective way. Responsibilities Be a focal point for anything related to new players performance and KPIs across our range of games, strategic planning, user segmentation, tests and growth opportunities identification Daily support of ongoing analytical needs of the marketing department managers & teams Establish and monitor success metrics that measure and explain the impact of the marketing activities Design and initiate new features and reports to monitor & give insights on the marketing activity, using the marketing in-house BI system (for example, LTV, ROI forecasting, automatic rules) Run ad-hoc and in-depth analyses of the different Marketing activities and trends Support decision making based on data Collaborate with the game analysis team and the game studios to monitor and optimize our players experience, maximizing their retention in our games What we expect B.A/BSc in a highly quantitative field such as mathematics industrial engineering economics statistics or equivalent academic knowledge At least 2 years of hands-on data analysis and story-telling experience Proven experience with measuring online success and identifying optimization opportunities Excellent understanding of online marketing metrics High proficiency in SQL with demonstrated experience in querying large complex datasets Strong Excel / Google Sheets skills Experience with data visualization tools such as Qlik Sense and Looker A solid grasp of statistical significance models and tools Desired Marketing metrics of user funnel, user acquisition KPI’s What we offer A Workplace Designed for Your Well-Being - Comfortable Environment: Ergonomic chairs and desks to support your health. Beautifully designed spaces that inspire creativity. - On-Site Amenities: Gym, yoga room, and music room for relaxation and rejuvenation. - Delicious Perks: 5-star breakfast to kickstart your day. Freshly made coffee, shakes, and afternoon salads by our in-house barista. - Health & Wellness: Full health insurance coverage for your peace of mind. - Growth Opportunities: Learning and training programs to enhance your personal and professional skills. - Vibrant Culture: Happy hours, team events, and plenty of opportunities to connect with colleagues. Join us and experience a workplace where your well-being, growth, and enjoyment come first! Opened URL: https://il.indeed.com/rc/clk?jk=2b03298659a436f7&bb=r6UIYw2mow7Pn8IzQwq2_wWeK1_evLckj39fLIfBgJ2KNH0z3augA147ODzOJXM4VPM1yn4wZeNukSlYyB-0ehIHUhqYKXcTKfcnYDIqLgoQwawaxa9eNtYV3Qk82DTa&xkcb=SoBN67M33wH7H8WWaB0ObzkdCdPP&fccid=f24b7ff57afa3405&vjs=3",il,data
Junior Data Analyst,aiOla,https://il.indeed.com/rc/clk?jk=2b03298659a436f7&bb=r6UIYw2mow7Pn8IzQwq2_wWeK1_evLckj39fLIfBgJ2KNH0z3augA147ODzOJXM4VPM1yn4wZeNukSlYyB-0ehIHUhqYKXcTKfcnYDIqLgoQwawaxa9eNtYV3Qk82DTa&xkcb=SoBN67M33wH7H8WWaB0ObzkdCdPP&fccid=f24b7ff57afa3405&vjs=3,"aiOla is a high-growth, product-led SaaS startup backed by $45 million in funding from premier investors such as New Era Capital Partners and Hamilton Lane. Our mission is to revolutionize efficiency, intelligence, collaboration, and safety in the industrial sector through our proprietary speech-powered AI technology. Our team spans the US and Israel, bringing together experts in Product, Data Science, Data Engineering, Analytics, Marketing, and Customer Success. At aiOla, we thrive on innovation, collaboration, and a commitment to excellence. We are seeking forward-thinking professionals passionate about pushing the limits of AI and making an impact. Role Overview: We are seeking a passionate and innovative Data Analyst to join our growing Analytics team. This is an exceptional opportunity for a detail-oriented professional to not only analyze data but also play a pivotal role in shaping and enhancing our cutting-edge AI models and products. As a Data Analyst at aiOla, you will dive into complex datasets, uncover actionable insights, and contribute directly to the improvement and monitoring of our proprietary AI technologies. If you thrive in a dynamic environment, this role is perfect for you! Requirements: B.Sc in Industrial Engineering, Data Analytics, Statistics, or a related field. Proficiency in Python, with a strong focus on libraries like Pandas for data manipulation. Solid knowledge of SQL for querying and managing large datasets. Experience with BI tools like Tableau to create dashboards and reports. Excellent communication skills, with fluency in English (written and verbal). 0-1 years of experience in a Data Analyst role- advantage Nice To have: Familiarity with Snowflake or AWS Athena. Experience with Web/App product analytics tools such as Mixpanel. Knowledge of Data Science concepts and metrics, including Speech AI, Large Language Models (LLMs), Natural Language Understanding (NLU), and Automatic Speech Recognition (ASR). Responsibilities: Extract, clean, and analyze data to uncover trends, patterns, and actionable insights. Provide recommendations based on data analysis to support business decisions and drive product improvements. Develop and maintain dashboards and reports using BI tools such as Tableau or other platforms. Optimize data workflows and pipelines using Python and SQL. Collaborate with cross-functional teams, including Product, Data Science, and Engineering, to support data-driven decision-making. Opened URL: https://il.indeed.com/rc/clk?jk=8c0efb63a00ef0d5&bb=r6UIYw2mow7Pn8IzQwq2_xdQrNIprFLEwcJQe8rzWVWb1_NSvbpLXcpcn5TXeAHedsgImdoi_2ey__b10Ys3nn9vr-SRmf6buKLYOFDHfBc8ksA0lyjjiA%3D%3D&xkcb=SoDQ67M33wH7H8WWaB0NbzkdCdPP&fccid=ba07516c418dda52&vjs=3",il,data
Data Engineer,Meta,https://il.indeed.com/rc/clk?jk=8c0efb63a00ef0d5&bb=r6UIYw2mow7Pn8IzQwq2_xdQrNIprFLEwcJQe8rzWVWb1_NSvbpLXcpcn5TXeAHedsgImdoi_2ey__b10Ys3nn9vr-SRmf6buKLYOFDHfBc8ksA0lyjjiA%3D%3D&xkcb=SoDQ67M33wH7H8WWaB0NbzkdCdPP&fccid=ba07516c418dda52&vjs=3,"As a Data Engineer at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Reality Labs, Threads). Your technical skills and analytical mindset will be utilized designing and building some of the world's most extensive data sets, helping to craft experiences for billions of people and hundreds of millions of businesses worldwide.In this role, you will collaborate with software engineering, data science, and product management teams to design/build scalable data solutions across Meta to optimize growth, strategy, and user experience for our 3 billion plus users, as well as our internal employee community.You will be at the forefront of identifying and solving some of the most interesting data challenges at a scale few companies can match. By joining Meta, you will become part of a vibrant community dedicated to skill development and career growth in data engineering and beyond.Data Engineering: You will guide teams by building optimal data artifacts (including datasets and visualizations) to address key questions. You will refine our systems, design logging solutions, and create scalable data models. Ensuring data security and quality, and with a strong focus on efficiency, you will suggest architecture and development approaches and data management standards to address complex analytical problems.Product leadership: You will use data to shape product development, identify new opportunities, and tackle upcoming challenges. You'll ensure our products add value for users and businesses, by prioritizing projects, and driving innovative solutions to respond to challenges or opportunities.Communication and influence: You won't simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner. Data Engineer Responsibilities: Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems Create and contribute to frameworks that improve the efficacy of logging data, while working with data infrastructure to triage issues and resolve Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way Define and manage Service Level Agreements for all data sets in allocated areas of ownership Determine and implement the security model based on privacy requirements, confirm safeguards are followed, address data quality issues, and evolve governance processes within allocated areas of ownership Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains Solve our most challenging data integration problems, utilizing optimal Extract, Transform, Load (ETL) patterns, frameworks, query techniques, sourcing from structured and unstructured data sources Assist in owning existing processes running in production, optimizing complex code through advanced algorithmic concepts Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts Influence product and cross-functional teams to identify data opportunities to drive impact Mentor team members by giving/receiving actionable feedback Minimum Qualifications: Bachelor's degree in Computer Science, Engineering, relevant technical field, or equivalent 4+ years of experience where the primary responsibility involves working with data. This could include roles such as data analyst, data scientist, data engineer, or similar positions 4+ years of experience (or a minimum of 2+ years with a Ph.D) with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.) About Meta: Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics. Individual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about benefits at Meta. Opened URL: https://il.indeed.com/rc/clk?jk=332ce6560e8316dc&bb=r6UIYw2mow7Pn8IzQwq2_562YukhS6UN3gQsCZxi2egxfUB-GUkmkThkhz4gjqWPCW22mO4kb3LIM8QmQyIpRZmtmdc9AupjQYBTLVDksxFngEUdv3hLf8xgn6T3kHo6&xkcb=SoBk67M33wH7H8WWaB0MbzkdCdPP&fccid=4d28265c01696bc0&vjs=3",il,data
Junior Data Engineer,Aquant,https://il.indeed.com/rc/clk?jk=332ce6560e8316dc&bb=r6UIYw2mow7Pn8IzQwq2_562YukhS6UN3gQsCZxi2egxfUB-GUkmkThkhz4gjqWPCW22mO4kb3LIM8QmQyIpRZmtmdc9AupjQYBTLVDksxFngEUdv3hLf8xgn6T3kHo6&xkcb=SoBk67M33wH7H8WWaB0MbzkdCdPP&fccid=4d28265c01696bc0&vjs=3,"At Aquant, we empower field service professionals to become heroes using our personalized generative AI platform, Service Co-Pilot. Using historical service data, Aquant equips service leaders, field technicians, and customer service representatives with the precise information they need when they need it—enabling them to make decisions with confidence, reduce costs, and optimize service delivery. Recognized as one of Fast Company's Next Big Things in Tech of 2024 , we are committed to providing cutting-edge AI solutions that tackle the most pressing challenges in manufacturing. Ready to join a team that values innovation, excellence, and above all, its people? Apply today! Aquant's Data Analytics team is looking for a highly skilled Data Engineer who is comfortable with big data and complex data models. As a member of our Data Engineering team, you will: Work with large amounts of data and develop Python code to streamline processes Analyze different data structures and create the required reports out of them Collaborate \ connect to existing codes Build tools to track data quality on large DB with complicated schemas Monitor the integrity and validity of the customer service data Deep dive into the service data and learn the service world Required skills & background: 2-3 years experience with big datasets BA/B.Sc. in industrial/information systems engineering, statistics or equivalent Hands-on experience with Excel + SQL - must Hands-on experience with Python – must Experience with Azure services - advantage A team player, with excellent collaboration skills Excellent communicator with the ability to deliver high-quality results Fluent English It's not enough to have a cool product, join us because you share our values: These guiding values inspire every Aquant employee. They are how we operate and enable our company as a whole to have a greater impact and achieve our vision: Be Humble and Respectful: We are one team, where collective success is more important than individual ego. Treat your colleagues with respect and empathy, act with good intent, and value everyone's contributions. Be Curious: Keep learning, and asking questions to understand complex situations. Embrace new challenges. Keep an open mind, and be receptive to feedback. Take Ownership: Focus on achieving measurable and meaningful outcomes. Take decisive action, solve problems proactively, and take ownership of projects and results. Act with Integrity: Act with Integrity. Do great things while doing the right thing for your customers and colleagues. Some of our benefits: Vacation your way: We want to make sure you have time to meet your personal needs with generous PTO and flexible vacation planning. Everyone is an owner: We want everyone to feel ownership over their work and what we are building here, which is why we offer equity to full-time employees. Build your career: Every Aquant employee is in control of their career development with our learning stipends, tools, and training. Applicants must be authorized to work for any employer in the Israel. We are unable to sponsor or take over sponsorship of an employment Visa at this time. Aquant is committed to hiring a diverse and talented workforce. Opened URL: https://il.indeed.com/rc/clk?jk=ae2c3d8865d70a20&bb=r6UIYw2mow7Pn8IzQwq2_-VNnSBFDXo8Ynf-6utD7gBjMIDitHzsM1MRE1_A3cWHXQijHHfglfmBI95kAdDXDG8bj1QKQcCe9jGagYeS_BwRE1OhyZy2w5SIATwSfwc1&xkcb=SoCN67M33wH7H8WWaB0DbzkdCdPP&fccid=ba03cd038fd30855&vjs=3",il,data
Data Scientist,Rubrik Job Board,https://il.indeed.com/rc/clk?jk=ae2c3d8865d70a20&bb=r6UIYw2mow7Pn8IzQwq2_-VNnSBFDXo8Ynf-6utD7gBjMIDitHzsM1MRE1_A3cWHXQijHHfglfmBI95kAdDXDG8bj1QKQcCe9jGagYeS_BwRE1OhyZy2w5SIATwSfwc1&xkcb=SoCN67M33wH7H8WWaB0DbzkdCdPP&fccid=ba03cd038fd30855&vjs=3,"About Team & About Role: Rubrik is seeking a Data Scientist to join our Data Research team, part of the Security Apps organization responsible for developing Rubrik’s suite of security products. This is the first data scientist position on the team, requiring a high degree of independence and ownership. You’ll spearhead research and development of ML/AI models that power the features of our security offerings. What You’ll Do: Research and develop ML/AI models in the NLP domain Develop advanced anomaly detection models for threat detection Work closely with data analysts on research, pattern analysis, etc. Work closely with developers on implementation of models as part of features in the product Work with global teams to continuously push our ML infrastructure forward Experience You’ll Need: Bachelor’s degree in Mathematics, Computer Science, or other related field 3 years of experience in data science or a related field Proficiency in programming languages, especially Python Experience with common data science toolkits, such as Jupyter Notebook, Pandas, NumPy, Matplotlib, etc. Demonstrated experience in implementing ML algorithms in production environments, with a focus on anomaly detection and natural language processing. Strong problem-solving skills and analytic capability to develop insights and recommendations Excellent communication skills in Hebrew and English Preferred Qualifications: Master’s degree in Mathematics, Computer Science, or other related field Familiarity with cloud platforms such as AWS, Google Cloud, or Azure Experience working with LLMs Previous experience in the security industry Join Us in Securing the World's Data Rubrik (NYSE: RBRK) is on a mission to secure the world’s data. With Zero Trust Data Security™, we help organizations achieve business resilience against cyberattacks, malicious insiders, and operational disruptions. Rubrik Security Cloud, powered by machine learning, secures data across enterprise, cloud, and SaaS applications. We help organizations uphold data integrity, deliver data availability that withstands adverse conditions, continuously monitor data risks and threats, and restore businesses with their data when infrastructure is attacked. Linkedin | X (formerly Twitter) | Instagram | Rubrik.com Diversity, Equity & Inclusion @ Rubrik At Rubrik we are committed to building and sustaining a culture where people of all backgrounds are valued, know they belong, and believe they can succeed here. Rubrik's goal is to hire and promote the best person for the job, no matter their background. In doing so, Rubrik is committed to correcting systemic processes and cultural norms that have prevented equal representation. This means we review our current efforts with the intent to offer fair hiring, promotion, and compensation opportunities to people from historically underrepresented communities, and strive to create a company culture where all employees feel they can bring their authentic selves to work and be successful. Our DEI strategy focuses on three core areas of our business and culture: Our Company: Build a diverse company that provides equitable access to growth and success for all employees globally. Our Culture: Create an inclusive environment where authenticity thrives and people of all backgrounds feel like they belong. Our Communities: Expand our commitment to diversity, equity, & inclusion within and beyond our company walls to invest in future generations of underrepresented talent and bring innovation to our clients. Equal Opportunity Employer/Veterans/Disabled Rubrik is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability. Rubrik provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Rubrik complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please contact us at hr@rubrik.com if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. Opened URL: https://il.indeed.com/rc/clk?jk=ad3b38d6d843bb02&bb=r6UIYw2mow7Pn8IzQwq2_yYq9SF7G8SWRQOq2tS0E5s2WTIxqyX5UvFT8u-SbU_SASUW0mVJ_I7cT2iX1zPkHRDbfnLFNxLKcDajKYoqI5cz62T43EBWZ9Z5mO0gfo-W&xkcb=SoA567M33wH7H8WWaB0CbzkdCdPP&fccid=c4e7a75c6cddb35a&vjs=3",il,data
data scientist!,Horizon Technologies,https://il.indeed.com/rc/clk?jk=ad3b38d6d843bb02&bb=r6UIYw2mow7Pn8IzQwq2_yYq9SF7G8SWRQOq2tS0E5s2WTIxqyX5UvFT8u-SbU_SASUW0mVJ_I7cT2iX1zPkHRDbfnLFNxLKcDajKYoqI5cz62T43EBWZ9Z5mO0gfo-W&xkcb=SoA567M33wH7H8WWaB0CbzkdCdPP&fccid=c4e7a75c6cddb35a&vjs=3,"לארגון גדול ומוביל טכנולוגית בירושלים דרוש/ה data scientist! עבודה במתכונת היברידית מרובה! תיאור התפקיד: איש מדע נתונים והתממה ימלא תפקיד חשוב במחלקת ביג דאטה ויהיה אחראי על שורה של פעילויות שיאפשרו מחקרי נתונים על מאגרי המשרד וארגונים שעובדים עם המחלקה. יישום מדיניות ההתממה של מחלקת ביג דאטה באמצעות עבודה צמודה עם מהנדסי נתונים שיבצעו את פעולות ההתממה ואף באמצעות ביצוע פעולות אלה בעצמו בכלי ניתוח המוגדרים בתמנ""ע, כגון SQL, PYTHON, דאטאיקו ואחרים. כמו כן יהיה אחראי על תהליכי בדיקת איכות (QA) ההתממה בסביבה בה בוצעו האנליזות והעיבודים על הנתונים, או בליווי מהנדס נתונים שיבצע פעולות אלה. המערכות שבשימוש SQL, PYTHON, DATAIKU, CLOUDERA, לא מוגבלות לשימוש רק באלה. דרישות: 3 שנות ניסיון ומעלה בתפקידי דאטה מתוכן שנה אחת לפחות ב- data science (תפקידי דאטה: אנליטיקה של נתונים, הנדסת נתונים, מדע נתונים, פיתוח BI) ניסיון בהפעלת כלי התממה טבלאיים (למשל Privitar, Dataiku) - מינימום שנה ניסיון, מינימום עבודה על 30 טבלאות ניסיון בהתממה בתחום הבריאות - חובה. ניסיון בהתממת נתונים טבלאיים חובה. ⁠התממת טקסט חופשי - חובה. התממת טקסט חופשי בעברית - יתרון משמעותי. ניסיון בעבודה על התממה מול חוקרים באקדמיה - יתרון Opened URL: https://il.indeed.com/rc/clk?jk=f90aa7093544f010&bb=r6UIYw2mow7Pn8IzQwq2_xyaGdaoejrhyKNPDULo5mrjaIrPYiIvCcF52gDTKS5ckQ4Tob9j7S8rgIEWt6fB4Q2dVUswzFz8eib5DhxHjVmhwfPeuvoDONJ99fqrpBqv&xkcb=SoCk67M33wH7H8WWaB0BbzkdCdPP&fccid=e32508b84ec45c2b&vjs=3",il,data
Data Scientist,Ticomsoft,https://il.indeed.com/rc/clk?jk=f90aa7093544f010&bb=r6UIYw2mow7Pn8IzQwq2_xyaGdaoejrhyKNPDULo5mrjaIrPYiIvCcF52gDTKS5ckQ4Tob9j7S8rgIEWt6fB4Q2dVUswzFz8eib5DhxHjVmhwfPeuvoDONJ99fqrpBqv&xkcb=SoCk67M33wH7H8WWaB0BbzkdCdPP&fccid=e32508b84ec45c2b&vjs=3,"jb-19 מספר משרה : עם ניסיון ב Data Scientist דרוש איש/ת פיתוח Evaluating state of art statistical modeling and machine Learning. Big data analysis, Modeling and Reporting. Job Requirements:Requirements: A minimum first degree in computer science/ applied math/ statistics. Strong algorithm development skills. Proven experience with machine learning algorithms – both supervised and unsupervised. Proven experience with optimization algorithms. 5+ years of relevant experience with one of the following: Python, R, Matlab. Strong communication skills, creative, results driven, quick learner. Experience with big data, distributed processing, NoSQL databases – a significant advantage. השם שלך מספר המשרה(חובה) העלאת קו""ח שתף את המשרה ותן לחברים שלך לעזור Opened URL: https://il.indeed.com/rc/clk?jk=d93f96511474983d&bb=r6UIYw2mow7Pn8IzQwq2_5aHKW3wZhMixewaX6PYd3gfA9lT-ljRyZagyU-B6VRsq5WetHFTiwUEwJhRVi0EoeZ2l1gDnl0VKDEJDOrEiNtxwcGFGMy1pCHdHBhSYAxX&xkcb=SoAQ67M33wH7H8WWaB0AbzkdCdPP&fccid=9c02dc25b0c9c8ac&vjs=3",il,data
