Skill,Sources
3D Modeling (SolidWorks),"Book: SolidWorks Bible, Course: SolidWorks 2024 Essential Training (LinkedIn Learning), Course: SolidWorks Beginners (Udemy), Doc: SolidWorks Official Tutorials, YouTube: GoEngineer"
AI Analytics,"Book: AI for Data Science, Course: AI For Everyone (Coursera), Course: AI Analyst Professional Certificate (IBM), Doc: Microsoft Azure AI Fundamentals, YouTube: StatQuest with Josh Starmer"
AI-driven Control,"Book: Reinforcement Learning for Control, Course: Control Theory and AI (edX), Course: Deep Reinforcement Learning (Udemy), Doc: MATLAB Reinforcement Learning Toolbox, YouTube: Brian Douglas - Control Theory"
API Development,"Book: API Design Patterns, Course: Rest API Design, Development & Management (Udemy), Course: Node.js API Development (Coursera), Doc: MDN Web Docs - APIs, YouTube: FreeCodeCamp API Tutorial"
API Integration,"Book: Hands-On RESTful API Design, Course: Connecting to APIs (LinkedIn Learning), Course: Postman Essential Training (Udemy), Doc: Postman Documentation, YouTube: Traversy Media - API Integration"
API Management,"Book: Mastering API Management, Course: API Management with Apigee (Coursera), Course: Azure API Management (Udemy), Doc: Google Cloud Apigee Docs, YouTube: MuleSoft Tutorials"
AWS/Azure/GCP,"Book: Cloud Computing Architectures, Course: AWS Certified Solutions Architect (A Cloud Guru), Course: Azure Administrator Associate (Microsoft), Doc: AWS/Azure/GCP Official Documentation, YouTube: TechWithNana"
Accessibility (WCAG),"Book: Accessibility for Everyone, Course: Web Accessibility (Udemy), Course: Introduction to Web Accessibility (edX), Doc: W3C WCAG Guidelines, YouTube: A11y Project"
Acoustic Modeling,"Book: Fundamentals of Physical Acoustics, Course: Audio Engineering (Coursera), Course: Noise & Vibration (LinkedIn Learning), Doc: COMSOL Acoustics Module Docs, YouTube: Acoustic Fields"
Actuarial Science,"Book: Actuarial Mathematics for Life Contingent Risks, Course: Actuarial Science Foundations (Coursera), Course: Exam P Prep (Coaching Actuaries), Doc: Society of Actuaries (SOA) Learning Path, YouTube: The Actuary Tutor"
Advanced Troubleshooting,"Book: The Art of Troubleshooting, Course: CompTIA A+ Training (CBT Nuggets), Course: Problem Solving Techniques (Udemy), Doc: Microsoft Troubleshooting Docs, YouTube: Eli the Computer Guy"
Aerodynamics,"Book: Fundamentals of Aerodynamics (Anderson), Course: Introduction to Aerodynamics (edX), Course: Aircraft Performance (Coursera), Doc: NASA Glenn Research Center, YouTube: Real Engineering"
Aerospace Systems,"Book: Aerospace Systems Engineering, Course: Aerospace Engineering (MIT OpenCourseWare), Course: Systems Engineering (Coursera), Doc: ESA/NASA Technical Standards, YouTube: Scott Manley"
Aesthetics,"Book: The Elements of Style in Design, Course: Visual Design Foundation (Coursera), Course: Graphic Design Theory (Udemy), Doc: Nielsen Norman Group Articles, YouTube: The Futur"
Agile Leadership,"Book: Coaching Agile Teams, Course: Agile Leadership (Coursera), Course: Certified Agile Leadership (Scrum Alliance), Doc: Scrum Guide, YouTube: Mountain Goat Software"
Agile Methodologies,"Book: Agile Retrospectives, Course: Agile with Atlassian Jira (Coursera), Course: Agile Crash Course (Udemy), Doc: Agile Manifesto, YouTube: Development That Pays"
